State Name,Year,Annual Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft(Total),Monsoon Recharge Rainfall,Monsoon Recharge Other,Non-Monsoon Recharge Rainfall,Non-Monsoon Recharge Other,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Projected Demand for Domestic & Industrial Use Upto 2025,Groundwater Availability for Futur Irrigation Use,Stage of Goundwater Development (%)
Andaman & Nicobar Island,2013,0.004,0,0.004,0.38,0.04,0,0,0.42,0.042,0.378,0.016,0.361,1
Andhra Pradesh,2013,0.81,7.29,8.1,8.97,4.25,3.21,3.97,20.39,1.91,18.48,1.64,10.21,44
Arunachal Pradesh,2013,0.007,0.002,0.01,3.34,0,1.092,0.001,4.433,0.443,3.99,0.02,3.967,0.23
Assam,2013,0.68,4.06,4.74,20.56,1.82,9.22,0.49,32.11,3.21,28.9,0.84,24,16
Bihar,2013,2.37,10.36,12.73,20.66,3.48,3.36,3.81,31.31,2.82,28.49,0.6,17.52,45
Chandigarh,2013,0,0,0,0.015,0,0.005,0.001,0.022,0.002,0.019,0,0,0
Daman & Diu,2013,0.002,0.008,0.01,0.012,0.001,0,0.001,0.015,0.001,0.014,0.003,0.003,70
Delhi,2013,0.25,0.14,0.39,0.09,0.02,0.014,0.22,0.34,0.03,0.31,0.25,0.02,127
Dadara & Nagar Havelli,2013,0.013,0.008,0.02,0.054,0.002,0.01,0.004,0.07,0.007,0.063,0.014,0.042,32
Karnataka,2013,0.99,8.76,9.76,6.74,4.18,2.67,3.4,17,2.16,14.83,1.49,5.55,66
Kerala,2013,1.45,1.18,2.63,4.51,0.04,0.59,1.13,6.27,0.6,5.66,1.55,2.93,47
Lakshadweep,2013,0.002,0,0.002,0,0,0,0,0.011,0.007,0.004,0,0,68
Meghalaya,2013,0.004,0.008,0.012,3.05,0,0.15,0.107,3.31,0.33,2.98,0.207,2.76,0.4
Manipur,2013,0.001,0.004,0.004,0.244,0.01,0.201,0.019,0.474,0.047,0.426,0.049,0.374,1.01
Madhya Pradesh,2013,1.41,17.95,19.36,28.59,1.27,0.82,5.3,35.98,1.82,34.16,2.35,13.86,57
